id;date;age;gender;failedinstructions;mmindexp;numgamesplayed;timelimit;codejar;entropy;jarname;numguesses;truncguesses;expguesses;efficiency;rttotal;gamesuccessproportion;truecode;guesses;feedback_smiley;feedback_neutral;rt;gamesuccess
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[5;6;5;6;5;5]";2,579434003;HiEnt;6;6;6,2;0,2;117216;0,481481481;"[3;5;1]";"[[1;1;1];[1;2;2];[2;1;2];[2;2;1];[3;3;1];[3;5;1]]";"[1;0;0;1;2;3]";"[0;1;1;0;0;0]";"[6914;10233;15170;20631;27562;36706]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[21;1;4;1;4;1]";1,617541691;MedLoEnt;1;1;4,8;3,8;8200;0,518518519;"[1;1;1]";"[[1;1;1]]";[3];[0];[8200];[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[5;5;6;5;5;6]";2,579434003;HiEnt;8;8;6,2;-1,8;305651;0,555555556;"[5;4;3]";"[[6;6;6];[3;3;3];[3;1;1];[1;3;1];[2;2;3];[5;5;3];[4;5;3];[5;4;3]]";"[0;1;0;0;1;2;1;3]";"[0;0;1;1;0;0;2;0]";"[10160;20585;27287;31687;37872;48124;59468;70468]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[5;5;1;5;15;1]";2,080241239;MedHiEnt;5;5;5,2;0,2;125371;0,592592593;"[5;2;4]";"[[5;5;5];[5;1;1];[5;2;2];[5;6;2];[5;2;4]]";"[1;1;2;1;3]";"[0;0;0;1;0]";"[7720;13198;24912;34383;45158]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[1;1;1;1;27;1]";0,98806367;MinEnt;1;1;2,9;1,9;8448;0,62962963;"[5;5;5]";"[[5;5;5]]";[3];[0];[8448];[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[1;1;4;21;4;1]";1,617541691;MedLoEnt;8;8;4,8;-3,2;324366;0,666666667;"[3;4;5]";"[[4;4;4];[4;4;1];[4;1;1];[2;4;3];[5;4;2];[2;4;1];[5;4;1];[3;4;5]]";"[1;1;0;1;1;1;1;3]";"[0;0;1;1;1;0;1;0]";"[6303;13281;22032;29136;46346;55161;70882;81225]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[1;27;1;1;1;1]";0,98806367;MinEnt;1;1;2,9;1,9;11090;0,703703704;"[2;2;2]";"[[2;2;2]]";[3];[0];[11090];[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[1;1;27;1;1;1]";0,98806367;MinEnt;1;1;2,9;1,9;7276;0,740740741;"[3;3;3]";"[[3;3;3]]";[3];[0];[7276];[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[1;1;1;27;1;1]";0,98806367;MinEnt;1;1;2,9;1,9;6664;0,777777778;"[4;4;4]";"[[4;4;4]]";[3];[0];[6664];[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[5;5;5;15;1;1]";2,080241239;MedHiEnt;5;5;5,2;0,2;77016;0,814814815;"[3;4;4]";"[[4;4;4];[4;4;1];[4;1;4];[1;4;4];[3;4;4]]";"[2;1;1;2;3]";"[0;1;1;0;0]";"[5384;10176;15576;20432;25448]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[15;1;5;5;1;5]";2,080241239;MedHiEnt;4;4;5,2;1,2;77616;0,851851852;"[3;1;4]";"[[1;1;1];[1;3;3];[3;1;3];[3;1;4]]";"[1;0;2;3]";"[0;2;0;0]";"[10385;16112;23057;28062]";[1]
emap066;2018-03-09T12:00:25.547Z;22;1;0;1;-99;-1;"[4;1;1;21;4;1]";1,617541691;MedLoEnt;1;1;4,8;3,8;5673;0,888888889;"[4;4;4]";"[[4;4;4]]";[3];[0];[5673];[1]
